,title,release_year,genre,ratings,metascore,nr_votes,100_ratings
82,The Lives of Others,2006,"Drama, Mystery, Thriller",8.4,89,377629,84.0
83,Rear Window,1954,"Mystery, Thriller",8.5,100,472584,85.0
84,WALL·E,2008,"Animation, Adventure, Family",8.4,95,1060538,84.0
85,Vertigo,1958,"Mystery, Romance, Thriller",8.3,100,388031,83.0
86,Seven Samurai,1954,"Action, Drama",8.6,98,333556,86.0
87,Grave of the Fireflies,1988,"Animation, Drama, War",8.5,94,258794,85.0
88,Princess Mononoke,1997,"Animation, Action, Adventure",8.4,76,372463,84.0
89,Cinema Paradiso,1988,"Drama, Romance",8.5,80,249654,85.0
91,Das Boot,1981,"Drama, War",8.3,86,243581,83.0
92,Hara-Kiri,1962,"Action, Drama, Mystery",8.6,85,51259,86.0
95,Paths of Glory,1957,"Drama, War",8.4,90,189919,84.0
97,Modern Times,1936,"Comedy, Drama, Family",8.5,96,232452,85.0
98,City Lights,1931,"Comedy, Drama, Romance",8.5,99,178561,85.0
